Date,Mkt-RF,SMB,HML,RF
8/15/2007,-1.46,0.05,-0.04,0.018
8/16/2007,0.31,1.21,1.18,0.018
8/17/2007,2.36,-0.42,0.37,0.018
8/20/2007,0,0.15,-0.31,0.018
8/21/2007,0.15,-0.06,0.07,0.018
8/22/2007,1.2,0.05,-0.01,0.018
8/23/2007,-0.23,-0.96,0.17,0.018
8/24/2007,1.21,0.12,-0.22,0.018
8/27/2007,-0.85,-0.11,-0.14,0.018
8/28/2007,-2.33,-0.07,-0.41,0.018
8/29/2007,2.13,0.11,0.03,0.018
8/30/2007,-0.43,0,-0.49,0.018
8/31/2007,1.12,0.05,-0.07,0.018
9/4/2007,1.03,-0.21,0.03,0.017
9/5/2007,-1.05,0.04,-0.32,0.017
9/6/2007,0.42,0.01,-0.18,0.017
9/7/2007,-1.7,-0.29,0.18,0.017
9/10/2007,-0.27,-0.5,-0.23,0.017
9/11/2007,1.35,0.05,-0.33,0.017
9/12/2007,-0.03,-0.43,-0.21,0.017
9/13/2007,0.69,-0.69,0.3,0.017
9/14/2007,0.1,0.35,-0.06,0.017
9/17/2007,-0.6,-0.44,0.03,0.017
9/18/2007,2.88,0.59,0.37,0.017
9/19/2007,0.59,0.59,0.24,0.017
9/20/2007,-0.65,-0.14,-0.32,0.017
9/21/2007,0.43,-0.22,-0.24,0.017
9/24/2007,-0.56,-0.37,-0.63,0.017
9/25/2007,-0.03,-0.29,-0.37,0.017
9/26/2007,0.6,0.11,-0.08,0.017
9/27/2007,0.43,0.2,-0.05,0.017
9/28/2007,-0.37,-0.54,0.03,0.017
10/1/2007,1.37,0.81,0.07,0.014
10/2/2007,0.11,0.65,0.19,0.014
