Date,Mkt-RF,SMB,HML,RF
8/13/2008,-0.15,0.76,-2.03,0.006
8/14/2008,0.63,0.09,1.29,0.006
8/15/2008,0.38,-0.37,1.07,0.006
8/18/2008,-1.45,0.28,-0.9,0.006
8/19/2008,-1,-0.55,-1.24,0.006
8/20/2008,0.54,-0.65,-0.07,0.006
8/21/2008,0.12,-0.9,-0.46,0.006
8/22/2008,1.14,0.43,1.03,0.006
8/25/2008,-1.92,-0.12,-0.52,0.006
8/26/2008,0.33,-0.2,0.14,0.006
8/27/2008,0.88,0.27,0.29,0.006
8/28/2008,1.51,0.15,1.79,0.006
8/29/2008,-1.25,0.23,0.64,0.006
9/2/2008,-0.44,0.3,2.05,0.007
9/3/2008,-0.23,0.54,1.65,0.007
9/4/2008,-2.9,0.21,-0.49,0.007
9/5/2008,0.42,-0.83,1.58,0.007
9/8/2008,1.76,-0.56,2.18,0.007
9/9/2008,-3.41,0.58,-0.69,0.007
9/10/2008,0.7,0.42,-0.8,0.007
9/11/2008,1.22,-0.95,0.18,0.007
9/12/2008,0.29,-0.18,-0.22,0.007
9/15/2008,-4.45,1.47,-2.22,0.007
9/16/2008,1.65,0.27,1.96,0.007
9/17/2008,-4.6,0.59,-2.12,0.007
9/18/2008,4.41,1.07,4.8,0.007
9/19/2008,4.27,-1.98,3.64,0.007
9/22/2008,-3.93,0.34,-3.36,0.007
9/23/2008,-1.55,0.11,0.16,0.007
9/24/2008,-0.32,-1.05,-0.76,0.007
9/25/2008,1.7,-1.15,0.63,0.007
9/26/2008,0.11,-0.9,0.95,0.007
9/29/2008,-8.26,3.45,-3.75,0.007
9/30/2008,4.88,-3.68,2.88,0.007
