Date,Mkt-RF,SMB,HML,RF
7/14/2016,0.51,-0.42,0.47,0.001
7/15/2016,-0.05,0.31,0.02,0.001
7/18/2016,0.25,-0.01,-0.11,0.001
7/19/2016,-0.22,-0.62,0.06,0.001
7/20/2016,0.48,0.47,-0.91,0.001
7/21/2016,-0.38,-0.06,-0.02,0.001
7/22/2016,0.48,0.24,-0.09,0.001
7/25/2016,-0.27,-0.02,-0.25,0.001
7/26/2016,0.13,0.59,0.57,0.001
7/27/2016,-0.14,0.64,-0.41,0.001
7/28/2016,0.18,-0.38,-0.3,0.001
7/29/2016,0.17,-0.01,0.03,0.001
8/1/2016,-0.16,0.18,-0.88,0.001
8/2/2016,-0.7,-0.6,0.16,0.001
8/3/2016,0.45,0.47,0.79,0.001
8/4/2016,0.05,0.08,-0.31,0.001
8/5/2016,0.93,0.41,0.91,0.001
8/8/2016,-0.06,-0.01,0.54,0.001
8/9/2016,0.05,-0.03,-0.31,0.001
8/10/2016,-0.29,-0.45,-0.14,0.001
8/11/2016,0.54,0.14,0.03,0.001
8/12/2016,-0.06,0.06,-0.2,0.001
8/15/2016,0.39,0.75,0.4,0.001
8/16/2016,-0.57,-0.28,0.6,0.001
8/17/2016,0.12,-0.59,0.22,0.001
8/18/2016,0.32,0.45,0.36,0.001
8/19/2016,-0.11,0.1,-0.13,0.001
8/22/2016,-0.02,0.27,-0.39,0.001
8/23/2016,0.27,0.55,-0.03,0.001
8/24/2016,-0.56,-0.5,0.42,0.001
8/25/2016,-0.08,0.2,0.47,0.001
8/26/2016,-0.15,0.14,-0.13,0.001
8/29/2016,0.53,-0.07,0.36,0.001
8/30/2016,-0.14,0.09,0.3,0.001
8/31/2016,-0.24,-0.39,0.13,0.001
9/1/2016,0.03,0.14,-0.5,0.001
9/2/2016,0.53,0.37,0.35,0.001
9/6/2016,0.26,0.07,-0.55,0.001
9/7/2016,0.09,0.62,0.02,0.001
9/8/2016,-0.18,-0.04,0.57,0.001
9/9/2016,-2.47,-0.58,0.37,0.001
9/12/2016,1.44,0.01,-0.46,0.001
9/13/2016,-1.48,-0.26,-0.44,0.001
9/14/2016,-0.08,0.13,-0.82,0.001
9/15/2016,1.07,0.29,-0.33,0.001
9/16/2016,-0.36,0.33,-0.46,0.001
9/19/2016,0.05,0.4,0.18,0.001
9/20/2016,-0.02,-0.21,-0.52,0.001
9/21/2016,1.12,0.14,0.34,0.001
9/22/2016,0.7,0.83,-0.05,0.001
9/23/2016,-0.6,-0.09,-0.17,0.001
9/26/2016,-0.88,-0.2,-0.33,0.001
9/27/2016,0.64,-0.07,-0.5,0.001
9/28/2016,0.56,0.21,1.11,0.001
9/29/2016,-0.98,-0.42,0.53,0.001
9/30/2016,0.88,0.36,0.35,0.001
